emotion,essay,Unnamed: 2
guilt,defend close friend father degraded felt guilty allowing father get away actions hurt friend felt cleared matter father weeks later,
joy,much trouble getting together first place boyfriend celebrated first anniversary,
fear,got caught shoplifting package gummy bears,
anger,sometimes go work crazy boss hyper jewish lawyer insists things way filing typing etc sometimes blames things didnt cant yell back,
sadness,since moved dorms ive spending free time boyfriend hardly see old high school friends several bad incidents past best friends,
disgust,took psych experiment totally unappealing gay man experimentor homosexuals funny cute guy disgusting plus experiment gays,
shame,grades parents say school getting good grades say great fine actually feel ashamed,
guilt,ive three midterms past two weeks hardly studied like days feel guilty hadnt studied got cs,
joy,winning close volleyball game im intercollegiate team cal,
fear,speaking front large group people,
anger,situation car stolen,
sadness,close friend drowned american river,
disgust,getting low grade physics midterm,
shame,arguing friend politics informed issues made feel ashamed political ignorance,
guilt,fathers car got stolen ford mustang hard replace,
joy,getting sent company expense trip another state work week plan,
fear,second plane trip ran unexpected turbulence,
anger,personal objects rearranged someone else without consent arranged taste trying find particular object rearranged hour,
disgust,getting back math midterm received lower grade thought would get going questions felt grader graded harshly made errors,
shame,getting low grade midterm,
guilt,promising task friend forgetting,
joy,finished cs project overjoyed felt relieved due next day tired looking,
fear,overturned canoe years back didnt know swim although lifejacket still panicked,
anger,came house monday morning getting ready go school fight parking saw car flat tire,
sadness,little sisters graduation high school grandmother became sick passed away months later,
disgust,saw wino cans food stamps use change buy wine,
shame,felt copying homework one classes,
guilt,yelling girlfriend felt bad crying upset,
joy,party worries ie tests homework etc many friends present good music,
fear,im afraid able go school want suffering grades,
anger,stood date function someone really cared,
sadness,blowing saying wrong things realized done hurt person,
disgust,friends arent working common goal need accomplish,
shame,supposed something didnt person really dependiong,
guilt,confronting person stood blew said wrong things,
joy,realized girl liked,
fear,would bad class get bus school,
anger,dad told something done mother,
sadness,heard sister got bad car accident,
disgust,engineer know wants war get job making bombs,
shame,bad test didnt study,
guilt,decided last minute something said would person,
joy,passed ba exams first class results,
fear,ba results come,
anger,failed ssc exam,
sadness,sister left home go live husband,
disgust,trusted friend mine lied something disgusted,
shame,failed ssc examination felt ashamed,
guilt,felt guilt cooperative mother exam,
joy,first feeling falling love coming across person made feel love happiness joy giving new beautiful future made dream,
fear,got know friend closest got engaged going away overjoyed also felt frightened emotionally dependent know would without,
anger,angry brother argument together fights time time also times take anger,
sadness,came know feelings someone reciprocated,
disgust,felt disgusted studying applied psychology mental testing papers ba,
shame,habit wetting bed young one day invited friends place stay night happened ashamed,
guilt,felt guilty lied parents,
joy,marriage received bsc results post happy learn got good marks first class,
fear,weeks back daughter high fever scared might lead brain damage convulsions,
anger,felt angry motherinlaw handle daughter properly fell bed hurt head,
sadness,sad could take exams due illness relative mine disheartened,
disgust,parentsinlaw scolded without reason front members family first time called room studying exams,
shame,teacher asked question class concerning something read earlier know answer felt ashamed front whole class,
guilt,friend failed exam one mark exam asked show answer sheet done results came thought shown answer sheet would passed exam felt guilty failed,
joy,family allowed higher studies,
fear,decided separate husband,
anger,father talks relatives favours feel angry,
sadness,elders understand right way,
disgust,husband quarrelled reason,
joy,went walk beach friend seen many months weather pleasant icecream lots fun beach,
fear,day alone home coming home school know everyone else gone kept waiting come back nobody came getting late terrified,
anger,walking street alone afternoon many people street couple guys following ignoring suddenly one came front started using dirty language harrassing got angry wanted strike back,
sadness,close friend mine get married weeks time father died heartattack knew well felt bad hearing death,
disgust,girl friend mine affair boy also friend mine got know girl also seeing another guy later broke friend mine without giving explanations made sad depressed felt disgust girl,
shame,always first class preliminary board exams scored highest marks exams postponed neglected studies confident however final results came felt ashamed scored less marks rank class fifth sixth,
guilt,went cinema friends without telling mother cinema day also asked lied,
joy,got permission study place far away home,
fear,gone hospital research got late reaching home feared reached home would quarrel late,
anger,feel angry somebody unjust,
sadness,feel sad somebody unjust,
disgust,people around understand right way,
joy,went picnic lonavala felt full joy,
fear,brother epileptic attack scared would happen,
anger,angry morning missed train university,
sadness,missed train morning felt sad time,
disgust,exams relative lives another city came visit us felt disgusted,
shame,felt ashamed attended class teacher asked reason absence,
joy,acted english play college got best actress award play got first place,
fear,done teachers training course bed training asked handle ninth standard class boys school scared face class first day,
anger,meet friend busstop coming visit us turn waited time hour called told intend come feeling tired,
sadness,sister died fire accident home,
disgust,husband told premarital affairs,
shame,failed ninth standard exam school,
guilt,gone see one professors book attend class took minutes later,
joy,passsed msc board exams first class expected,
fear,always scared tense exam declaration results,
anger,friend promised would come place turn annoyed,
sadness,someone tells something hurts feel bad also feel sad,
disgust,feel disgusted people understand right way ie misunderstand,
shame,whenever late feel ashamed even though one tells anything,
joy,happy passed ba first class marks,
fear,trying board train missed footsteps fell platform,
anger,argument brother behavior started fighting got annoyed started teasing,
sadness,best friend got married left hometown go live poona wedding felt sad,
disgust,feel disgust neighbour comes house child spoils furniture,
shame,failed twelveth standard exams ashamed see parents later,
guilt,mother scolded argued,
fear,coming back home alone night,
anger,failed msc exams,
sadness,father ill,
disgust,friend close got engaged invite,
shame,failed msc exam,
guilt,fought friends,
joy,last year passed ba exams psychology stood first class thus got first prize college happy tell parents friends,
fear,years old fell severely ill bedridden months felt scared health studies,
anger,months ago teaching suddenly became angry children slapped,
sadness,friend got married went abroad made feel sad lonely,
disgust,begggar approached money felt disgusted,
shame,got abnormal psychology felt ashamed,
guilt,lied parents made feel guilty,
joy,got first class twelveth standard exams surprised happy good time friends,
fear,horrible dream one night dreamt fallen crowded train,
anger,sybajaj wanted get admission another college easy felt angry,
sadness,mother scolded something insignificant without knowing real cause happened,
disgust,feel disgusted cousin badmannered know behave talk others respect elders lies time,
shame,one day tyba class teacher asked simple question could answer finally teacher gave us answer friends started laughing able answer simple question knew answer feared response may wrong made feel ashamed,
guilt,taking th standard exam friend sitting behind asked answers teacher looked us scolded us everyone started looking us felt guilty,
joy,completing highschool wanted go abroad holiday never abroad neither taken holiday long time finally parents agreed got airplane tickets joyed,
fear,happened staying anaunts place discovered afraid sleeping pitch darkness room sister sharing light would refuse sleep without light adjoining bathroom switched,
sadness,see people burns feel sad actually even express feelings think must suffer lot,
disgust,like one neighbours selfish whenever want something need help come see us otherwise even bother people live next,
shame,close friends colleagues talk work say brightest student college,
guilt,special circumstances l lied parents felt guilty told truth felt free,
joy,day yesterday mother bought new pair shoes without asked told saw pair shoes felt like buying really liked shoes made feel mother cares,
fear,first time rode motorcycle brother going fast felt would fall without brother realizing,
anger,one friends asked go shopping another friend also coming along outing kept talking felt left even tried talk seemed listen pay much attention,
sadness,two years ago best friend died accident day birthray close felt sad loosing close friend,
disgust,gone native village went visit tribal group believes goddess kali festival day offer hen goddess cut head hen right front eyes felt disgusted evenb gave eating meat incident,
shame,part assessment speak subject front class really prepared reading stuff piece paper students asked something could give answer felt ashamed prepared topic,
guilt,one day went see movie without parents permission adult movie scared parents would allow see movie however coming home felt guilty done,
joy,daughter gave solo dance performance poona big applause overjoyed,
fear,garden one evening saw snake coming towards,
anger,separated husband way behaved towards makes angry,
sadness,husband lied tricked leave home,
disgust,way husband family treated unfairly cruelly unjustly,
shame,ashamed shouted daughter marital breakup unfair way treated,
guilt,argument daughter got angry overexcited said angry words,
joy,got married,
fear,sitting electric swing suddenly machine went order still upward position,
anger,girl trusted shared personal confidential matters twisted facts told common friend common friend told version friend told angry,
sadness,elder sister died,
disgust,husband falls ill follow doctors advice treatment diet control,
shame,every time write something well english,
guilt,could neither measure expectations teacher expectations one assignments,
joy,day got married happiest day life us felt right every way doubts compatibility right day got engaged,
anger,one morning standing busstop bus passed without stopping even though passengers inside felt angry rude behaviour bus driver conductor,
sadness,death friends father especially happened ten days wedding,
disgust,disgusted existing redtape government offices accquired passport three months applied go back five times correct minor error,
shame,could pass exams good marks wedding take place days exams tried convince reason done well however thought really put mind well exams would done well,
joy,succeeded achieving scholarship strived hard period financial personal physical stress,
fear,travel alone unescorted first time overnight journey train distant place,
anger,given chance explain close relatives could go visit ill go thought selfish irresponsible illness,
sadness,put two years hard work neither looked appreciated,
disgust,despite affectionate sincere helpful close relatives mine turned around accused inconsiderate relationship,
shame,first time go stage give speech,
guilt,could take care mother admitted hospital surgery continued studies could get leave,
joy,feel sense joy whenever complete piece writing part work intense reading also brings joy also feel happy reminiscent,
fear,coming home relatives place pm felt slightly apprehensive got bus started walking towards place confident nothing would happen yet slight feeling fear,
anger,uncleaniness work place place generally clean reaches point get angry person supposed clean place people supposed supervise,
sadness,three weeks ago friend mine bid goodbye going abroad felt happy achieving something making trip also felt sad would seeing long time,
disgust,complained uncleanliness work place authorities agreed place cleaned even days nothing done felt disgusted whole situation,
shame,got tight pair trousers examined mirror back looked unpresentable felt ashamed wanting wear clothes day quickly changed another dress,
guilt,put needed amount hours work study day feel guilty try make lost time,
joy,got scholarship happy finacial burden family reduced,
fear,experienced fear prepared final year degree exams,
anger,others bit work group assignment task work,
sadness,ill coming back hostel felt sad leaving home,
disgust,friend got low marks field work even though worked throughout year feeling,
shame,felt ashamed fought mother issue caused trouble,
guilt,enough time assignment well lecturer scolded feeling,
joy,selected tiss x,
fear,almost walked snake,
anger,insulted man,
sadness,mother left kenya,
disgust,see toilet unclean,
shame,coresident opened bathroom door bathing inside,
guilt,could complete assignment time,
joy,preuniversity appreciated examplary student pricipal something made feel happy,
anger,blamed attributes often misunderstood especially one frank,
sadness,sister lost son sixteen years old felt bad first death family learned slowly understand life,
disgust,christian institution sometimes nuns would send back people came visit us visiting hours disgusted,
guilt,able give relative critical period helping hand whenever think feel guilty letting person trusted give helping hand,
joy,day got letter ugc informing awarded junior research fellowship,
fear,working delhi gone alone see hostel would residing,
anger,relative come place created untidyness dirtyness,
sadness,leave home go place study,
disgust,went visit relative saw messy dirty place absence wife,
shame,brokedown seeing friend,
guilt,day worked academic hard enough,
joy,achieved wanted achieve feel stated emotion also sucessful,
fear,walking alone midnight happened put foot frog felt smooth thought snake felt afraid,
anger,friend attend important meeting promised come pick turn felt angry,
sadness,really hoping would pass examination failed felt sad,
disgust,feel disgusted people talk negatively person without knowing person well,
shame,felt shame unable remember particular incident,
guilt,whenever something prohibited wrong feel guilty,
joy,stood first ba exams earlier heard boys girls toppers first heard topped could believe,
fear,son fell cot age months became nervous thought would cause defects head,
anger,angry one day husband ignored slept separate bed reasons doubt neglect never imagined could thing,
sadness,heard news death father evening alone night room trying remember face father,
disgust,one day colleague misbehaved felt disgusted thought could woman,
shame,one day addressed husband abusive manner front friends later realized felt ashamed,
guilt,mother misunderstood prevented something return talk days later realized done good,
joy,results part exams came felt tremendous joy heart results came long period worry anxiety gave endless relief joy,
fear,felt afraid receiving question paper part ii exam,
anger,remember school saw case partiality one teachers gave private coaching classes girls would give girls extra attention class would ignore others,
sadness,last day school life sad specially farewell party day felt sad leave behind beloved teachers friends,
disgust,disgusted make nagging three day journey recently calcutta bombay boring tiring,
shame,remember friend cooperate due unavoidable reasons unaware treated unjustly till realized everything felt ashamad deeds,
guilt,badly one vital exams despite getting proper guidance parents felt guilty improper use chances provided,
sadness,honest intentions marred anothers jealousy,
guilt,event took place anothers life thought could avoided,
joy,day happiest day received phone call eves weekly inform first prize india essay competition prize undergraduate even post graduates participated judged eminent judges political scientists,
fear,fear emotion experience often naturally exams subsequently waiting results however one occassion paralyzed fear mai series student lectures one participants lecture happened opening lecture confident morning twenty minutes lecture confidence started failing felt heart go cold lips go dry really paralyzed incident fear still fresh,
anger,experience emotion quite often day angry day got pulled something done happened school days spoken word class monitor written name board remark callender get signed parents remark resulted spanked,
sadness,sad lonely trying organize play student years instead materializing fizzled worst thing play fell apart completely found weeping uncontrollably think laugh time intense,
disgust,incident many us witness everyday life city like bombay one day travelling bus three men dragged two fellows bus outside beaten pulp two fellows got beaten pickpockets beaten sundry thought life one hell place everyone someone else one waits cut throat one living money think things purpose life etc feel disgusted dejected,
shame,event never forget considered good mimic particular day waiting professor take class professor peculiar accent horrible way lecturing top class fag end day particular day got element started imitating professor professor entered class right middle unaware presence friends tried warn avail engrossed mimicing suddenly noticed silence turned around see entering class know till today actually saw completely ignored lecture died shame shameful fact gave character certificate,
joy,happened finally confirmed stood first university exams days official results declared clerk brought results unofficially expecting results confirmation allowed legitimately feel happy success,
fear,followed home every day campus stranger would follow campus sit outside class would ask friends dark ominous looking person terrified know intentions reported security officer turned police even petrified,
anger,new gas connection installed mechanic came rude mother rushed thhe dealer mother fight dealer seemed unreasonable taking mechanics side ultimately matter resolved father went spoke mechanic asked apologize,
sadness,day receive goldmedal grandmother loved much died illness died hours convocation attending convocation control grief would liked miss day waiting get see,
disgust,come back programme three girls staying another girls placce one started passing nasty outright bitchy remarks brought male colleagues compliments girl interested guy bitchiness catty remarks made women never fail disgust particularly remember incident knew encouraged guy,
shame,learning judo instructor wanted assist teaching girls judo suburban college beginer made green belt would able command respect principles yet allowed listen gave soon however felt ashamed sticking principles put foot earlier,
guilt,coming back home mother purse carrying got stolen done swifty realize happened till much later lot money keys house lost guilt ridden carelessness felt terrible normally loose things quite important especially keys,
joy,international sports events favourite national team player brings joy eg india world cup cricket match,
fear,gone school picnic left behind forest,
anger,saw people beating man seemed stranger,
sadness,india lost benson hedges cricket trophy,
guilt,responsible getting friend runout vital cricket match,
joy,india prudential cup beating westindies final match became world cricket champion westindies strongest eight countries participated competition,
fear,child one evening read novel ghosts thus spent sleepless night kept feeling ghosts dancing around,
anger,despite good performance excellent results management refused meet demands,
sadness,beloved girlfriend got married another person,
disgust,heard years old girl raped four rikshaw drivers town,
shame,feel ashamed fact even years independence indian poulation still poverty line,
guilt,read national social spirit selfdiscipline people developed coutries like usa england france germany etc comparing indian people felt guilty national spirit selfdiscipline,
joy,felt happy settlement marriage even though different sociolinguistic backgrounds parents agreed wedding without conflict discussion thought would object wedding happen,
fear,one day early morning mother healthy fell ill doctor compounder near hours pm speak single sentence drink water milk movement body felt really scared almost lost confidence survival,
anger,one day elder brother badly scolded father first time heard abusive language brother requested humbly use kind language care saying finally picked axe use meanwhile people intervened,
sadness,close friend applied tiss admission last year unfortunately failed get admission done graduation together quite involved wanted masters degree together however work expected saddened,
disgust,classmate tiss habit biting nails ever since childhood never liked habit person near class dining hall campus suggested stop biting nails however found difficult disgust feelings changed,
shame,feeling graduation never dared speak relatives friends feeling would avoid situations however know reason,
guilt,one day mother forced eat refused next day served rice mutton pieces usual saw got angry scolded refused eat later felt guilty asked excuse,
joy,student institute mphil degree one professors called convocation told got goldmedal first rank university tomorrow tv,
fear,village one enemies written nonsense letter girl told father girl culprit got know scared girls father worse man,
anger,research months ago asked institute sponsor computer course held tiss however administrative officer could get money,
sadness,bombay one good friends getting married informed made sad,
disgust,got phone call stating one friend jail please come see went jail saw disgusted,
shame,time back signed letter read happened something written friend went higher authorities friend asked also signed,
guilt,one friends came know friends applied course institute asked tell would also applied felt guilty,
joy,joyfull alive every night,
fear,felt emotion yet,
anger,discovering redtapism bureaucratic corrupt decadent degenerated infrastucture every public utility office service rampant corruption every single level education institutions,
sadness,death jaya prakash narayan caused great deal sadness believed true democrat ray hope indian horizon,
disgust,everyday feeling many situational events causes unclean dirty environment illiteracy poverty neglect human resources disgust lack perception part us educated lack drive drive towards redemption,
shame,realized belonged country amongst poorest world inspite resources utilize ashamed country shame lack parity lifestyles citizens,
guilt,realized working hard enough useful individual society family guilt spending money uncalled activities short wasting life,
joy,joy knew bounds selected job even finished studies,
fear,scared realized might miss train supposed take kilometres away home heard depart whistle still feet away train finally made,
anger,felt angry repeated pleas ticket collector copassengers order make queue fell deaf ears feeling whenever someone disciplined methodic duty,
sadness,filled gloom sadness death person specifically felt sad hearing news death person hale hearty full life vigour plans next day next day cherish,
disgust,feel disgusted since unable cope wordly affairs spend much precious time pursue hobby admist people love long,
shame,always feel ashamed succeed accomplishing something put efforts,
guilt,times attracted conducts socially degraded due ill consequences feel guilty,
joy,india first world cup cricket tournament,
fear,th standard going native place last bus already left started walking soon became quite dark road village road deserted even sure right way finally reached home pm,
anger,travelling delhi bombay booked seat one month back also got telegram confirming however train name omitted reservation sheet one seat still vacant alloted another person paid despite requests seat allowed stay reserved compartment paid money,
sadness,news natural calamity earthquake hundreds mexican people died,
disgust,punjab name religion people killed agitation,
joy,felt happy end day student camp shared hopes aspirations open situation generated made strong frienships experienced worth well,
fear,one fellow students bunked field work attempt cover exposed though directly meet field work suprevisor afraid consequences,
anger,made error planning programme publicly accepted mistake despite repeated requests bring matter discussion professor kept constantly passing remarks reacted angrily,
sadness,love girl separate different commitments concerning life career loved person could agree life future would demand parting sad,
disgust,students campus unnecessarily creating trouble heckle authorities achieve something concrete interest,
shame,reacted angrily friend fault raised voice cared opinion,
guilt,promised send something friend completely slipped mind felt guilty forgotten,
joy,one feeling never betray must confess last time slighty felt happy passed high rank years ago friend told result,
fear,weeks back important seminar circulated papers panel members day seminar realized inadvertantly burdened certain derivations failed correct feared would reflect badly performance fortunately none panel members detected felt relieved,
anger,days back friend mine poked ribs funs sake though warned infinite number times really hurts usually ignore time flared split second threatened bash latest incident lost temper though felt bad later,
sadness,saddest moment life lost younger sister years back,
disgust,yesterday cross road country guy ahead spat mouthful betel juice road windy checked speed would good shower saliva though angry felt people indecent,
shame,yesterday playing volley ball one person extra somebody mess worker last ones arrive arrived time rightfully one us opt game delaying leaving mess worker opted saying play felt ashamed,
guilt,days back friend mine asked call sunday accepted later go specific reason slept room next day friend called told expecting day wife prepared good lunch gone waste felt bad incident growing heart ever since,
joy,got bsc degree first class,
fear,declaration ssc results,
anger,punished school serious mistake mine,
sadness,received syjc results marks obtained expectations missed admission engineering,
disgust,could attend college picnic due difficulties,
shame,detained one day school viceprincipal indiscipline,
guilt,one day school quarrelled schoolmate ultimately hit hard physically weak visit doctor remain absent school two days,
joy,happened th standard paddy crops bad shape rained water well sad mood came conclusion would ignore paddy field hours rained one hour tense time rain brought tremendous pleasure,
fear,age gone see film nearby village kms home started walking bus cross hills dark could identify path half way started raining shelter ran four kms reach home,
anger,one day roommate started imitating done hours back got angry started beating,
sadness,months close relative mine died never expected happen sad months,
disgust,one day important place met group girls waiting bus girls started smoking commanded smoke felt disgusted,
shame,months back gone friends place offered tea coffee habit drinking tea coffee offered glass milk instead felt ashamed,
guilt,native place riding cycle lights night police man caught requested let go would minutes escaped,
joy,graduation exams waiting get admitted post graduation course however situation favourable upset suddenly bombay university offered seat landed bombay post graduation studies happened last year pleasant,
anger,worst incident hostel life insulted close friend mine eve new year totally spoiled new years night,
sadness,feel made mistake,
joy,got ba degree first class,
fear,received letter college telling would allowed sit exams low attendance class bad experience terminal exams,
anger,friend pushed fallen window broke taken tthe principals office accused broken window,
sadness,received syjc results allow get admission engineering,
disgust,studying examination asked work unavoidable,
shame,teacher asked question failed answer told stay behind class give answer studying book,
guilt,class one day walked class teacher noticed decided would take action realized approached told sorry incident would repeat,
joy,passed th standard board exams,
fear,illness years back sevely malaria asthma lost health charm cheerfulness completely,
anger,short period unemployment six years back,
sadness,fathers death january moved deeply gloom prevailed almost two years still recover,
shame,years old caught ticket collector travelling without ticket,
guilt,lies indulged years ago raising loans friends,
joy,finished bsc struggling hard continue studies taken msc exam sure would selected written exam saw name selected candidates list overjoyed,
fear,get admission msc bsc felt really bad started journey bombay accepted uncles offer come bombay afraid wondering would succeed,
anger,dancing dame social one friends interested came took away really angry,
sadness,close friend residing hostel lost father really pittied situation made feel sad,
disgust,get admission felt disgusted,
shame,th standard could speak english one day talking relatives used wrong word cousin corrected believing know english really felt ashamed,
guilt,got low marks final year bsc exams felt guilty worked hard roaming around friends,
joy,experiment getting appropriate result despite fact repeated procedure times finally got right stroke luck,
fear,frightened night fearful terrifying dream could go back sleep long time,
anger,argument friends knew right friends went arguing even though know right thing,
disgust,elder sister forced things like,
shame,torn pages library book felt ashamed,
joy,realized loved someone opposite sex,
fear,thrown car accident resulted fracture,
anger,childhood could get wanted brothersister parents,
disgust,felt disgusted helpless position loss fiancee,
shame,day fiancee told bad could write mother tongue,
guilt,felt guilty thought still standing feet,
joy,way particular girl spoke behaved reacted first time introduced felt certain something us would materialize,
sadness,girl answer question concerning love put forward,
joy,joyous moment day got marks happy came know marks msc part examination got highest marks ever scored life,
guilt,travelling bus school going home holiday bus unfortunately stepped bag delicate things,
joy,brother selected university malawi polythecnic excited rejoiced due one family members qualifying university level long last,
fear,may th got summon appear court may th subject impregnanting school girl really feared standing court days time notice also embarassed due formal approach expected principal,
anger,sometime ago felt angry mother wrote telling elder sister messing things home internalised aggressive attitude towards parents husband,
sadness,felt sad form three notice friend barley jumbe lost expensive new sports short trousers,
disgust,four weeks ago felt much touched find asciatic patient asked morning tapped fluid dying evening really disgusted medical staffs negligence clinical officers done something morning might alive today,
shame,truely got ashamed brother sent business machines limited company due improper handling office equipment sales services,
guilt,guilt conscious struck failed standard two examinations knew would suffer consequences class hours thus playing friends sometimes even going school,
joy,sitting standard exams second time great joy heard successful examination results,
fear,cousin loved much unfortunately passed away suddenly one time dream talking yet dead,
anger,somebody wanted beat brother wedding ceremony trying protect brother man calling names us,
sadness,never failed examinations since standard experienced sad moments sat standard examination selected secondary school education,
disgust,experienced odd moments one time patient came ward working patient badly burnt right side body nervous sight,
shame,young playing football near parents house playing fell ground first thought seen anybody mother laughed felt ashamed,
guilt,friendship certain girl sometime love going well happened made friendship come end suddenly without good reasons,
joy,emotionally happy love girl longed,
fear,felt last hour come unexpectedly found hands,
anger,happened brother promised give money school told failed fulfil promise day school started became angry thought future would ruined,
sadness,sudden sad heard cousin usually paid school fees passed away short illness,
disgust,first day visited hospital disgusted experienced offensive smell never expected nearly ran away course,
shame,felt shame failed fulfil promise marry daughter certain gentleman,
guilt,felt guilty robbed friends radio lilongwe bus depot promising would keep safe,
fear,heard rumour st year exam results fear might one failures,
anger,somebody blaming story real true,
sadness,death grnadfather hospital long cancer oesophagus,
disgust,mum beaten young sister received letter boyfriend,
shame,done well geography mce expected get,
guilt,patient died soon told guardian wait outside ward,
joy,passed primary school leaving certificate selected go boarding secondary school,
fear,feeding premature baby months baby chocked working childrens ward thought killed baby,
anger,go exam room didnt see writing materials plus identification card place left,
sadness,boyfriend turn time promised would coming,
disgust,time cleaned house everything tidy cousin years old came muddy pot made mess whole thing,
disgust,bad temper serving lady students dining hall,
shame,teacher suspected stealing money,
guilt,failed promised,
joy,saw tv china winning gold medals,
fear,staying room alone night,
anger,old lady slipped nobody helped,
sadness,friends mother died,
disgust,saw dirty street,
shame,collecting homeworks time give teacher,
guilt,helping people homework,
joy,made wonderfull new friend,
fear,friend started misunderstand hurt,
anger,insulted disgusting people,
sadness,friend badly hurt,
disgust,someone responding criticism,
shame,swearing public,
guilt,hurt someones feelings unintentionally,
joy,told everyone last lecture lectures english everybody come english classes,
fear,examn,
anger,class leader told chosen english lectures,
sadness,finding university give first priority qualified practioners clinical years go english lectures,
disgust,finding old useless practitioners retirement age go english lectures understand english,
shame,china give lectures bigger place sound system,
guilt,good enough experiment,
joy,winning game long time losing,
fear,almost bicycle accident,
anger,people cueing dining hall,
sadness,failed examn,
disgust,saw real party leader,
shame,failed recagnize friend street,
guilt,forgot collect post friend,
joy,chosen experiment aphasia,
fear,may find stupid let experiment,
anger,classmate told must bribed class leader let go english lecture,
sadness,chosen english class,
disgust,saw class leader acting like god chose people go english lectures,
shame,talking friends old successful age,
guilt,telling friends nickname,
joy,got better marks examn many arrogant people,
fear,examn,
anger,insulted stupid people,
sadness,lost friend,
disgust,hear people talking back,
shame,saw something stupid ignorant happening countryside,
fear,scared went examination hall msc examination studied limited partion course thoroughly great doubt whether would asked,
anger,angry india lost triangular cricket trophy held australia angry fought orally friend,
sadness,sad got xiith standard results got low marks compared friend could get admission courses like medicine,
disgust,disgusted dropped vital catch playing cricket match lost match though catch difficult,
shame,one thing makes feel shameful see friends age group working earning lot still studying friend met week ago period years earning rs month,
guilt,felt guilty read advertisement job chemist newspaper friend asked applied job told even seen paper day,
joy,got first unknown compound msc research happy research based type reactions compounds,
fear,scared time tybsc examination decided get st class results afraid thinking papers would,
anger,neighbours accused brother stealing rosebush angry touched,
sadness,heard girlfriend getting married another person felt sad day eat anything kept thinking day long,
shame,insulted father two years back time angry due reasons,
guilt,felt guilty tried teach swimming younger brother could swim well brother started sinking bottom however elder brother saved,
joy,happened year hard time got admission research despite obstacles procedure admission,
fear,time position secure ist class msc exam likely affect career,
anger,missed opportunity go abroad silly mistakes suffer lot,
sadness,time msc exam position take exam studied seriously,
disgust,opted research field percentage marks important knowledge,
shame,position control said much cruel mother,
guilt,two days incident thinking morally shameful act felt sorry incident late however realize,
joy,got first compound column,
fear,get compound known,
anger,got low marks bsc final,
sadness,first love successful,
disgust,mix coming column several days,
shame,angry friend without reason,
guilt,forced close friend mine ask girl things,
joy,fortnight ago declared successful ugc exam year four bombay succeeded joy knew bounds,
fear,kid always opened door greet father came back work one day happened hair scattered due overcrowding train opened door usual saw something else scared could talk,
anger,also happened small beaten mother fault mine beaten younger brother thought fault angry mother,
sadness,studying lot hsc exams could make medical stream felt sad,
joy,got admission msc organic chemistry happy,
fear,came know exams two successive days little time hours study,
anger,angry friend lost practicals journal needed study exams,
sadness,sad get admission english college less marks wanted,
disgust,disgusted cricket team manager dropped team,
shame,ashamed saw boys girls age earn lot money good hard work,
guilt,felt guilty student sitting front exam asked questions show answers though knew,
joy,passed toefel good marks,
fear,going take practical exams,
anger,teased friend scoring good marks exams,
sadness,ditched girlfriend,
disgust,lost notes lecturer borrowed friend,
shame,teasing girl turned brothers dame,
guilt,bluffing front mother get money,
joy,moment got news selected ugc junior national research fellowship dream come true,
fear,brother lost temper started smashing things house quite scared something terrible might happen till situation brought control,
anger,wanted go bhopal relief work gas tragedy boss simply refused let go angry thought came mind quit job,
sadness,friend mine hospitalized diagnosed typhoid forgo exams also ambition dissertation level sad event felt sorry volunteered stay hospital,
disgust,family fight house time back uncle given watch present lost fight accused sold watch disgusted false accusations,
shame,written loveletter classmate mine meant joke unfortunately fell wrong hands face consequences,
guilt,friend written letter contents misunderstood wrote back harsh letter realizing blunder made felt like hiding face sand,
joy,girlfriend almost like daughter studying station get see year arrival always joyous one,
fear,pushing court roller ditch slipped fell roller rolled back towards slopeit miracle still legs intact,
anger,compere party efforts get show rolling thwarted immobile non cooperative guests felt frustation bordering anger,
disgust,railways officer asked ticket checker produce tickets got aggressive started abusing using authority wrong way,
shame,quite shameless applicable,
joy,successful work full joy,
fear,treated improperly someone,
anger,bad disgusting language uttered people someone tries show beyond capacities,
sadness,missed twin verge thrown disliked,
disgust,kanishka blown really felt disgusted people killing,
joy,received best actor award intercollege drama competition gave tremendous joy satisfaction lasted several days,
fear,mother met serious accident danger would survive would loose memory,
anger,acquaintance mine beat another person reason thus showed power,
sadness,friend mine died hiking accident present got news later,
joy,felt emotion name announced radio selected come lilongwe school health sciences take training course medical assistat,
fear,felt condition took brothers bicycle market unfortunately bicycle stolen didnt know could tell owner stolen bicycle,
anger,felt angry pair trousers stolen could able find thief anyone knew story,
sadness,felt sad dear friend needed training school due failure number subjects simply didnt know,
disgust,felt emotion entered certain ward hospital visit relative sick,
shame,felt condition found house playing another mans wife asked questions unable answer,
guilt,felt emotion fought somebody drunk tried disturb us meals,
joy,school one thought could pass mce end year name announced radio passed happiest person,
fear,living brother one day went away business left alone look house property night thieves came wanted break house,
anger,young brother took wristwatch abscence sold friend cheaper price,
sadness,girlfriend lived several kilometers away home one day wrote shed visit way car accident badly injured sorry see lying bed hospital,
disgust,one best friends found lying flat road drunk taken police put cell went see following morning place really mess smelling badly didnt like,
shame,fathers birthday party asked bring tray tea drinks,
guilt,one day took playmates river swim play one epileptic drowned water felt guilty took,
joy,accepted study school happy,
fear,moving graveyard pm one day griped fear told ghosts detain people moving night,
anger,mad boy village boy hit raw pawpaw face,
sadness,last september felt sad heard selected study university malawi,
